ID;EMISSOR;BANDEIRA;RENDA;ANUIDADE GRATIS;GASTO MINIMO;ANUIDADE;MOEDA;PONTUACAO;DESCRICAO
1;ITAÚ;VISA;5000;NÃO;;650;REAL;1;PÃO DE AÇUCAR MAIS PLATINUM
2;ITAÚ;VISA;2500;NÃO;;405;REAL;1;PÃO DE AÇUCAR MAIS GOLD
4;ITAÚ;VISA;2500;SIM;2000;;DOLAR;3;LATAM PASS GOLD
5;ITAÚ;VISA;800;SIM;3500;;REAL(3);1;CVC PLATINUM
6;ITAÚ;MASTER;7000;SIM;4000;;DOLAR;4;LATAM PASS PLATINUM
7;ITAÚ;MASTER;2500;SIM;2000;;DOLAR;3;LATAM PASS GOLD
8;ITAÚ;MASTER;10000;SIM;20000;;DOLAR;7;LATAM PASS BLACK
9;ITAÚ;VISA;15000;SIM;20000;;DOLAR;3;AZUL INFINITE
10;ITAÚ;MASTER;800;SIM;1000;;DOLAR;2.5;LATAM PASS INTERNACIONAL
11;ITAÚ;VISA;7000;SIM;4000;;DOLAR;4;LATAM PASS PLATINUM
12;ITAÚ;MASTER;15000;SIM;10000;;DOLAR;3;PERSONALITÉ BLACK PONTOS
13;ITAÚ;VISA;800;SIM;1000;;DOLAR;2.5;LATAM PASS INTERNACIONAL
14;ITAÚ;VISA;10000;SIM;20000;;DOLAR;7;LATAM PASS INFINITE
15;ITAÚ;MASTER;0;NÃO;;214.8;REAL(3);1;CLICK PLATINUM COM PONTOS
16;ITAÚ;VISA;0;NÃO;;214.8;REAL(3);1;CLICK PLATINUM COM PONTOS
17;ITAÚ;VISA;2500;SIM;2000;;DOLAR;1.7;AZUL GOLD
18;ITAÚ;VISA;800;SIM;1000;;DOLAR;1.4;AZUL INTERNACIONAL
19;ITAÚ;MASTER;2500;SIM;2000;;DOLAR;1.7;AZUL GOLD
20;ITAÚ;VISA;5000;SIM;4000;;DOLAR;2.2;AZUL PLATINUM
21;ITAÚ;MASTER;800;SIM;1000;;DOLAR;1.4;AZUL INTERNACIONAL
22;ITAÚ;MASTER;5000;SIM;4000;;DOLAR;2.2;AZUL PLATINUM
23;CAIXA;VISA;;NÃO;;207;DOLAR;1;INTERNACIONAL
24;CAIXA;MASTER;;NÃO;;207;DOLAR;1;INTERNACIONAL
25;CAIXA;;;;;;;;GOLD
26;CAIXA;;;;;;;;GOLD
27;CAIXA;;;;;;;;MAIS
28;CAIXA;;;;;;;;PLATINUM
29;CAIXA;;;;;;;;PLATINUM
30;CAIXA;;;;;;;;GRAFITE
31;CAIXA;;;;;;;;MASTER BLACK
32;CAIXA;;;;;;;;MASTER VISA
33;CAIXA;;;;;;;;ELO NANQUIM
34;CAIXA;;;;;;;;DINERS
